,,,,,CPX,,,,OC,,,,,,CL,,,,,,GS,,,,,,OCG,,,,,,,
instance,k/|V|,weight,|V|,|E|,T,EG,#N,GI,T,EG,#N,GI,#C,ST,T,EG,#N,GI,#C,ST,T,EG,#N,GI,#C,ST,T,EG,#N,GI,#C(OC),#C(CL),#C(GS),ST
11,30%,unit,9877,25973,3510.4,<0.1,267401,89.5,3422.8,<0.1,168601,91.0,10119,0.9,12.4,NA,1,100.0,510,0.1,3481.3,<0.1,266087,89.5,0,1.1,15.0,NA,1,100.0,5565,391,0,0.8
13,30%,unit,45307,36697,7.4,NA,1,100.0,7.5,NA,1,100.0,0,0,10.7,NA,1,100.0,0,0,7.4,NA,1,100.0,0,0,10.5,NA,1,100.0,0,0,0,0
15,30%,unit,53610,42940,9.0,NA,1,100.0,9.2,NA,1,100.0,0,0,13.0,NA,1,100.0,0,0,9.1,NA,1,100.0,0,0,12.9,NA,1,100.0,0,0,0,0
17,30%,unit,23541,34233,25.1,NA,1,100.0,22.8,NA,1,100.0,1864,0.1,27.9,NA,1,100.0,341,<0.1,23.7,NA,1,100.0,0,1.1,22.4,NA,1,100.0,1847,252,0,1.2
19,30%,unit,200,862,0.6,NA,1,100.0,0.5,NA,1,100.0,184,0.1,0.5,NA,1,100.0,83,0,1.1,NA,8,88.9,228,0.1,0.5,NA,1,100.0,176,76,116,0.1
21,30%,unit,24765,19655,2.4,NA,1,100.0,2.4,NA,1,100.0,0,0,3.4,NA,1,100.0,0,0,2.4,NA,1,100.0,0,0,3.1,NA,1,100.0,0,0,0,0
23,30%,unit,27717,133665,3570.0,0.6,8636,82.8,3564.3,0.6,7721,82.9,12000,0.1,467.7,NA,201,100.0,1938,0.3,3515.6,0.6,7601,82.8,0,7.1,523.1,NA,801,100.0,12000,1628,0,7.5
25,30%,unit,23194,18295,1.9,NA,1,100.0,2.0,NA,1,100.0,0,0,2.8,NA,1,100.0,0,0,2.0,NA,1,100.0,0,0,2.8,NA,1,100.0,0,0,0,0
27,30%,unit,65866,52435,13.6,NA,1,100.0,13.5,NA,1,100.0,0,0,21.9,NA,1,100.0,0,0,13.2,NA,1,100.0,0,0,21.2,NA,1,100.0,0,0,0,0
29,30%,unit,13431,16234,6.0,NA,1,100.0,6.1,NA,1,100.0,141,0,6.3,NA,1,100.0,108,<0.1,5.7,NA,1,100.0,0,<0.1,6.3,NA,1,100.0,141,108,0,<0.1
31,30%,unit,200,813,2.8,NA,157,90.5,1.3,NA,1,100.0,791,0.2,1.4,NA,8,95.3,184,0,2.1,NA,33,90.9,228,<0.1,1.0,NA,4,95.2,414,125,118,0.2
33,30%,unit,4410,6885,3457.2,0.6,423372,43.2,5.1,NA,1,100.0,1375,0.3,5.4,NA,1,100.0,1040,0,3447.3,0.6,417301,43.2,0,0.8,4.7,NA,1,100.0,1375,302,0,0.4
35,30%,unit,200,864,1.4,NA,12,90.2,0.6,NA,1,100.0,244,0.1,0.8,NA,5,92.5,97,0,1.6,NA,12,88.8,125,<0.1,0.6,NA,1,100.0,244,79,118,0.1
37,30%,unit,198,808,2.9,NA,163,82.7,2.3,NA,99,88.6,423,0.1,2.2,NA,168,84.1,70,0,4.4,NA,596,80.8,235,<0.1,1.8,NA,26,90.3,527,54,118,0.2
39,30%,unit,6795,10620,3535.4,0.6,211201,38.8,24.6,NA,1,100.0,2525,11.0,13.0,NA,1,100.0,1397,<0.1,3448.9,0.6,202907,38.8,0,3.7,28.3,NA,1,100.0,2525,384,0,14.4
41,30%,unit,200,1023,2.7,NA,57,89.5,1.0,NA,1,100.0,419,0.2,0.6,NA,1,100.0,165,0,2.3,NA,44,89.0,354,0.1,0.9,NA,1,100.0,394,139,120,0.2
43,30%,unit,200,841,1.2,NA,12,92.1,0.7,NA,5,94.4,256,0.1,0.6,NA,1,100.0,177,0,1.5,NA,18,92.5,343,0.1,0.5,NA,1,100.0,262,142,230,0.1
45,30%,unit,200,1020,5.2,NA,404,86.5,1.5,NA,1,100.0,1143,0.3,2.0,NA,25,93.7,162,0,4.0,NA,176,87.5,554,0.1,1.6,NA,1,100.0,1049,123,223,0.2
